Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
Adonal Foyle,3006.0,19.000000000000004,NOHOF,0,743.0,0.08428571428571428,1998.0,345.0,264.0,1201.0,600.0,0.4998461538461538,0.49515384615384617,3.3,15.699999999999998,C,3487.0,4.045760430686406,0,0.46433378196500674,0.3553162853297443,1.6164199192462987,0.8075370121130552,4.693135935397039
Adonis Jordan,21.0,-0.1,NOHOF,0,10.0,0.022,1994.0,22.0,3.0,1.0,8.0,0.3805,0.5,-0.1,0.0,PG,6.0,2.1,0,2.2,0.3,0.1,0.8,0.6
Adonis Thomas,28.0,0.0,NOHOF,0,12.0,0.01,2014.0,6.0,0.0,0.0,2.0,0.454,1.0,0.0,0.0,SF,6.0,2.3333333333333335,0,0.5,0.0,0.0,0.16666666666666666,0.5
Adreian Payne,621.0,-1.3,NOHOF,0,134.0,-0.013200000000000007,2015.0,96.0,62.0,36.0,132.0,0.382,0.6404000000000001,-2.1999999999999997,1.0,PF,468.0,4.634328358208955,0,0.7164179104477612,0.4626865671641791,0.26865671641791045,0.9850746268656716,3.4925373134328357
Adrian Branch,834.0,2.1,NOHOF,0,130.0,0.0595,1987.0,96.0,83.0,17.0,125.0,0.4477499999999999,0.7522500000000001,0.5,1.6,SF,253.0,6.415384615384616,0,0.7384615384615385,0.6384615384615384,0.13076923076923078,0.9615384615384616,1.9461538461538461
Adrian Caldwell,491.0,1.2,NOHOF,0,242.0,0.018875000000000006,1990.0,45.0,72.0,49.0,154.0,0.4322857142857143,0.4555714285714285,-1.4,2.9,PF,663.0,2.0289256198347108,0,0.1859504132231405,0.2975206611570248,0.2024793388429752,0.6363636363636364,2.739669421487603
Adrian Dantley*,26274.0,153.99999999999997,HOF,1,1107.0,0.17726315789473682,1977.0,3254.0,1105.0,187.0,2894.0,0.5199473684210527,0.8091052631578948,126.5,27.1,SF,6392.0,23.73441734417344,0,2.939476061427281,0.998193315266486,0.16892502258355918,2.6142728093947607,5.7741644083107495
Adrian Griffin,1984.0,16.3,NOHOF,0,512.0,0.0669090909090909,2000.0,680.0,453.0,61.0,352.0,0.40518181818181814,0.6801818181818182,5.5,10.599999999999998,SG,1571.0,3.875,0,1.328125,0.884765625,0.119140625,0.6875,3.068359375
Adrian Smith,8940.0,32.6,NOHOF,0,796.0,0.07441666666666667,1962.0,1829.0,0.0,0.0,0.0,0.4163333333333334,0.8425833333333334,24.199999999999992,8.5,SG,1662.0,11.231155778894472,0,2.2977386934673367,0.0,0.0,0.0,2.0879396984924625
Al Attles,6328.0,36.599999999999994,NOHOF,0,711.0,0.09145454545454546,1961.0,2483.0,0.0,0.0,0.0,0.4422727272727273,0.628090909090909,15.8,20.699999999999996,PG,2463.0,8.90014064697609,0,3.492264416315049,0.0,0.0,0.0,3.4641350210970465
Al Bianchi,5550.0,8.299999999999999,NOHOF,0,687.0,0.024700000000000003,1957.0,1497.0,0.0,0.0,0.0,0.3722,0.7075,-4.2,12.3,PG,1722.0,8.078602620087336,0,2.1790393013100435,0.0,0.0,0.0,2.506550218340611
Al Butler,3109.0,11.099999999999998,NOHOF,0,293.0,0.06866666666666667,1962.0,735.0,0.0,0.0,0.0,0.42733333333333334,0.7479999999999999,7.1000000000000005,4.0,PG,1033.0,10.610921501706486,0,2.508532423208191,0.0,0.0,0.0,3.525597269624573
Al Carlson,72.0,0.1,NOHOF,0,28.0,0.012,1976.0,13.0,7.0,11.0,0.0,0.342,0.621,-0.2,0.3,C,73.0,2.5714285714285716,0,0.4642857142857143,0.25,0.39285714285714285,0.0,2.607142857142857
Al Cervi*,1591.0,22.000000000000004,HOF,1,202.0,0.31799999999999995,1950.0,648.0,0.0,0.0,0.0,0.37625000000000003,0.83525,16.0,6.0,PG,261.0,7.876237623762377,0,3.207920792079208,0.0,0.0,0.0,1.2920792079207921
Al Eberhard,1490.0,5.300000000000001,NOHOF,0,220.0,0.053250000000000006,1975.0,175.0,158.0,35.0,23.0,0.42474999999999996,0.7765000000000001,2.5,2.8,SF,760.0,6.7727272727272725,0,0.7954545454545454,0.7181818181818181,0.1590909090909091,0.10454545454545454,3.4545454545454546
Al Ferrari,2525.0,8.9,NOHOF,0,371.0,0.04850000000000001,1956.0,943.0,0.0,0.0,0.0,0.3595,0.7746666666666666,3.5,5.4,SF,830.0,6.8059299191374665,0,2.5417789757412397,0.0,0.0,0.0,2.2371967654986524
Al Fleming,40.0,0.0,NOHOF,0,20.0,0.018000000000000002,1978.0,7.0,0.0,5.0,16.0,0.484,0.588,-0.1,0.1,SF,30.0,2.0,0,0.35,0.0,0.25,0.8,1.5
Al Guokas,428.0,-2.0,NOHOF,0,114.0,,1950.0,190.0,0.0,0.0,0.0,0.2926666666666667,0.6973333333333334,-1.8,-0.2,F-G,0.0,3.754385964912281,0,1.6666666666666667,0.0,0.0,0.0,0.0
Al Hairston,91.0,-0.5,NOHOF,0,42.0,-0.0475,1969.0,44.0,0.0,0.0,0.0,0.354,0.7855000000000001,-0.6,0.1,SG,41.0,2.1666666666666665,0,1.0476190476190477,0.0,0.0,0.0,0.9761904761904762
Al Harrington,15991.0,50.800000000000004,NOHOF,0,1132.0,0.0573,1999.0,1900.0,1011.0,292.0,2168.0,0.42845000000000005,0.7138,21.3,29.200000000000003,PF,6433.0,14.126325088339222,0,1.6784452296819787,0.8931095406360424,0.2579505300353357,1.9151943462897527,5.682862190812721
Al Henry,194.0,0.7,NOHOF,0,49.0,0.036000000000000004,1971.0,8.0,0.0,0.0,0.0,0.3015,0.7065000000000001,0.3,0.4,C,148.0,3.9591836734693877,0,0.16326530612244897,0.0,0.0,0.0,3.020408163265306
Al Horford,9240.0,70.60000000000001,NOHOF,0,646.0,0.1572,2008.0,1926.0,534.0,784.0,1031.0,0.5311,0.7461,39.6,30.900000000000002,C,5608.0,14.303405572755418,0,2.981424148606811,0.826625386996904,1.2136222910216719,1.5959752321981424,8.681114551083592
Al Jackson,0.0,-0.1,NOHOF,0,2.0,-0.19899999999999998,1968.0,1.0,0.0,0.0,0.0,0.0,,-0.1,0.0,G,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0
Al Jefferson,14091.0,69.39999999999999,NOHOF,0,879.0,0.1273076923076923,2005.0,1317.0,612.0,1070.0,1190.0,0.4993846153846154,0.7043076923076923,36.4,32.9,PF,7547.0,16.03071672354949,0,1.4982935153583619,0.6962457337883959,1.217292377701934,1.353811149032992,8.58589306029579
